title,link,category,sentiment_score,source_name
"Tổng Bí thư, Chủ tịch nước: Chuyển từ sắp xếp bộ máy sang vận hành hiệu quả",https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-chuyen-tu-sap-xep-bo-may-sang-van-hanh-hieu-qua-5081279.html,General,,VnExpress
Kinh tế mèo và con người cô độc,https://vnexpress.net/kinh-te-meo-va-con-nguoi-co-doc-5080505.html,General,,VnExpress
Đề chuyên Lý thi lớp 10 TP HCM sai công thức,https://vnexpress.net/de-chuyen-ly-thi-lop-10-tp-hcm-sai-cong-thuc-5081227.html,General,,VnExpress
Hà Nội tiếp tục lùi thông qua đề án vùng phát thải thấp,https://vnexpress.net/ha-noi-tiep-tuc-lui-thong-qua-de-an-vung-phat-thai-thap-5081040.html,General,,VnExpress
Hàng trăm ngọc động ở Phong Nha - Kẻ Bàng,https://vnexpress.net/hang-tram-ngoc-dong-o-phong-nha-ke-bang-5081032.html,General,,VnExpress
Campuchia bắt ổ lừa đảo trong biệt thự của tướng quân đội,https://vnexpress.net/campuchia-bat-o-lua-dao-trong-biet-thu-cua-tuong-quan-doi-5081179.html,General,,VnExpress
Chủ tịch CCV Group Mai Hà Trang bị khởi tố,https://vnexpress.net/chu-tich-ccv-group-mai-ha-trang-bi-khoi-to-5081129.html,General,,VnExpress
Manh mối tìm mộ tập thể liệt sĩ từ hai bức ảnh của cựu binh Mỹ,https://vnexpress.net/manh-moi-tim-mo-tap-the-liet-si-tu-hai-buc-anh-cua-cuu-binh-my-5080825.html,General,,VnExpress
Ba người 'bỏ túi' tiền công đức của đền Kỳ Cùng bị khởi tố,https://vnexpress.net/ba-nguoi-bo-tui-tien-cong-duc-cua-den-ky-cung-bi-khoi-to-5081180.html,General,,VnExpress
Chàng trai dùng bình cứu hỏa giải cứu người phụ nữ bị đâm trên phố,https://vnexpress.net/chang-trai-dung-binh-cuu-hoa-giai-cuu-nguoi-phu-nu-bi-dam-tren-pho-5081036.html,General,,VnExpress
